id;date;numero;date_livraison;lieux_livraison;order_status;observation
1;2020-04-03;facilitate Incredible Steel Shirt;2020-04-03;Health;PREPARATION;transmitting explicit
2;2020-04-03;Cotton instruction set wireless;2020-04-03;quantifying Shoes;LIVREE;Industrial Analyst
3;2020-04-03;Poland;2020-04-03;blue;LIVREE;Lead implementation
4;2020-04-03;expedite Quality-focused;2020-04-03;Beauty;PREPARATION;hack hard drive
5;2020-04-03;Chair index SSL;2020-04-03;hierarchy;ANNULEE;Overpass Arkansas
6;2020-04-03;circuit iterate;2020-04-03;deposit synthesize;EXPEDITION;Outdoors
7;2020-04-03;SSL Ford innovative;2020-04-03;content-based teal Computers;ANNULEE;SMTP Cambridgeshire bypassing
8;2020-04-03;Clothing Internal sexy;2020-04-03;invoice feed mint green;EXPEDITION;Manager Director
9;2020-04-03;Concrete productize Orchestrator;2020-04-02;task-force Ohio;PREPARATION;Triple-buffered wireless
10;2020-04-03;Gloves;2020-04-03;connect Legacy;PREPARATION;focus group Applications value-added
