id;nom;prix_vente_htva;prix_vente_tvac;prix_achat_ht;taux_tva_achat;taux_tva;observation;description
1;conglomeration Marketing solutions;70855;1822;47384;90798;23831;deliverables;connecting
2;Accountability XSS Iowa;58092;48888;1273;4659;94621;online SAS;Myanmar
3;Unions GB Soap;22622;23283;5187;39721;27610;Shores Money Market Account;Soap deposit
4;override web-readiness 1080p;37721;4447;76268;4391;44289;Cambridgeshire;Facilitator deposit Practical
5;Gloves transitional;51676;60225;27324;71359;49772;Pennsylvania Fresh Iraqi Dinar;Steel
6;override clear-thinking;1228;9660;74623;5889;11024;violet Corporate;salmon 24/365 metrics
7;Multi-channelled Shirt;49939;21539;32056;42158;2242;indexing Netherlands Antillian Guilder FTP;Avon
8;Keyboard platforms Liaison;3106;6710;33255;8089;23045;Steel instruction set;compress
9;Polarised;14898;35547;70899;75194;56143;Handcrafted;Borders Bedfordshire invoice
10;National Computers;14975;16048;76969;62678;84742;niches Walk;Cambridgeshire Auto Loan Account
