id;stock_max;stock_min;quantite_produit;observation
1;bandwidth invoice;Regional;Montenegro Cambridgeshire connect;synthesizing
2;hack Credit Card Account;Fresh Specialist;turquoise Bedfordshire Hawaii;e-business
3;integrated synthesizing Lilangeni;Moldova Practical;withdrawal Utah distributed;plug-and-play Berkshire
4;payment withdrawal Persevering;Advanced solutions;compressing compressing;Lead programming JBOD
5;Handmade Metal Mouse software Arkansas;Home expedite Identity;back-end Wisconsin Park;auxiliary fuchsia
6;Human Baby;Implementation model Cambridgeshire;Sharable synthesize;bypass SMS
7;Dynamic Senior Consultant;Division Re-engineered Auto Loan Account;Upgradable;Concrete orange Fresh
8;navigating metrics Rustic Steel Pizza;Analyst Mauritius Rupee;open-source explicit Specialist;Savings Account Credit Card Account
9;open-source CSS;Australian Dollar;override;Credit Card Account Borders turquoise
10;scale Borders;Games Analyst;Stravenue;Computers
